Dimension,Metric,0.1,0.2,0.3
Size,Number of Events,0.7563747370197569,0.8352115483142335,1.0633539032943475
Size,Number of Distinct Activities,1.072950098824249,0.9324655901401492,1.0557642188210268
Size,Number of Distinct Traces,0.23661274740625443,0.2619241856503444,0.30511311224755
Size,Number of Distinct Directly-Follows Relations,0.7274044762095402,0.6177110756642459,0.7428393451208666
Size,Min. Trace Length,0.9216022187243352,0.7863208163761003,0.9507848912258086
Size,Avg. Trace Length,0.7563747370197567,0.8352115483142334,1.063353903294348
Size,Max. Trace Length,0.2622154461012015,0.3332214815556746,0.4979326613155324
Variation,Percentage of Distinct Traces,0.2366127474062546,0.2619241856503454,0.3051131122475523
Variation,Average Distinct Activities per Trace,1.2977311469431734,1.2756036043424848,1.2898990795970124
Variation,Structure,0.46856130433715715,0.45392991440069475,0.5810279587964482
Variation,Estimated Number of Acyclic Paths,0.3069108085743405,0.27760671290892475,0.35205501112107873
Variation,Number of Ties in Paths to Goal,0.4797275691107657,0.4804099047774828,0.6401616517962059
Variation,Lempel-Ziv Complexity,0.6506828761913879,0.6581090177836308,0.8452273114794804
Distance,Average Affinity,0.7995901813503322,0.5726147240059517,0.6801740600965636
Distance,Deviation from Random,1.0063441462727574,1.0957572292960442,1.2008678174044856
Distance,Average Edit Distance,0.33795532645988424,0.3772699537155061,0.4943928411646972
Graph Entropy,Sequence Entropy,0.604030588250656,0.6003864413288842,0.7950720300165937
Graph Entropy,Normalized Sequence Entropy,0.29378376017073216,0.32660061179268884,0.5228089698164172
Graph Entropy,Variant Entropy,0.5024416045436713,0.4854837611439217,0.6600814165763309
Graph Entropy,Normalized Variant Entropy,0.30170054285797265,0.35908067420952205,0.5432541979357698
