Noise Level,,None,None,None,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,0.0,0.0,0.0,0.0,1268.3081281407044,2988.055816582919,4565.555527638189,5515.207726130648,4311.487386934673,7817.099082914572,10626.71305276381,13823.219095477383,0.44771356783919924,0.9127386934673369,1.3109422110552682,1.727035175879388,1264.263505025127,2977.8958165829144,4580.455314070349,5489.9162688442175,4320.996457286432,7841.759736180904,10684.522650753759,13838.15698492462,0.8998743718593061,1.9817839195979476,2.83576633165829,3.392964824120587,1273.3192336683414,3005.2350125628145,4555.343894472363,5517.515213567845,4309.263756281411,7796.825314070351,10688.57933417086,13817.37437185929
Size,Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Number of Distinct Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04319095477386938,0.09444723618090455,0.13677135678391955,0.17522613065326625,0.0839195979899498,0.13988693467336671,0.20861809045226115,0.261494974874372,0.14425879396984947,0.26677135678391906,0.40135678391959806,0.5367713567839196,0.10439698492462296,0.23826633165829134,0.3313316582914573,0.44285175879397,0.17028894472361794,0.3232160804020103,0.47907035175879414,0.5969849246231158,0.2557537688442214,0.37585427135678384,0.57535175879397,0.7652638190954776
Size,Number of Distinct Traces,0.002499999999999996,0.0,0.0,0.0,8.288128140703513,17.240389447236197,24.010942211055276,32.61783919597991,8.295829145728646,15.333341708542712,22.813819095477395,33.2853643216081,0.6243090452261306,1.0710301507537685,1.5982663316582912,2.032198492462311,8.293404522613065,17.426507537688444,23.856984924623127,30.508831658291484,8.18988693467336,16.38365577889448,23.508429648241204,34.14837939698492,1.233542713567839,2.074962311557789,2.9268216080402034,3.789547738693467,8.351193467336685,17.378278894472352,26.03263819095478,35.281080402010076,8.27184673366834,16.681846733668337,23.618781407035204,33.10902010050253
Size,Number of Distinct Directly-Follows Relations,0.0,0.0,0.0,0.0,1.0103894472361805,0.08285175879396992,0.007474874371859287,0.0,2.3664195979899496,0.837763819095477,0.3469095477386923,0.17537688442210989,1.8381658291457286,3.375251256281405,4.746017587939698,6.202160804020101,8.641494974874373,12.2643216080402,12.17445979899497,13.998291457286449,17.333103015075377,25.896721105527654,31.5528391959799,37.64055276381907,3.906130653266331,7.0824874371859305,8.364924623115577,9.794610552763817,12.956055276381914,15.634108040201014,19.804912060301497,21.74912060301507,26.868040201005023,36.31555276381907,45.062110552763826,45.29365577889449
Size,Min. Trace Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15119346733668332,0.24864321608040196,0.3008793969849246,0.30968592964824126,0.02924623115577887,0.04316582914572862,0.06085427135678392,0.08420854271356784,0.019999999999999983,0.04084170854271359,0.06757537688442208,0.08842964824120605,0.22854271356783912,0.3193467336683419,0.3366331658291457,0.33241206030150755,0.056683417085427144,0.10587939698492457,0.13846733668341712,0.165213567839196,0.06432160804020101,0.0822110552763819,0.12175879396984929,0.1630904522613065
Size,Avg. Trace Length,0.0,0.0,0.0,0.0,0.5073232512562815,0.29880558165829163,0.20291357900614193,0.13788019315326636,1.72459495477387,0.7817099082914574,0.4722983579006146,0.3455804773869346,0.00017908542713567654,9.127386934673111e-05,5.826409826912441e-05,4.31758793969829e-05,0.5057054020100505,0.29778958165829134,0.2035757917364599,0.13724790672110548,1.728398582914572,0.7841759736180909,0.4748676733668341,0.34595392462311564,0.000359949748743714,0.00019817839195979893,0.0001260340591848131,8.482412060301255e-05,0.5093276934673369,0.30052350125628124,0.20245972864321576,0.13793788033919585,1.7237055025125616,0.7796825314070354,0.4750479704075936,0.3454343592964826
