Noise Level,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,0.00023444228694201086,0.00022571428571427533,0.00022336878133601574,0.00016500393694193364,0.0002427383441758735,0.00020245016161822224,0.00021223859899551309,0.00021991539325734785,0.00013741229435648724,0.0001238672265204317,9.419799281091042e-05,9.819755375658712e-05,0.0002502567919612517,0.00027730538223934265,0.0002900000000000394,0.00028230729366336037,0.00022856721967739324,0.0002485583123292196,0.00029086448844256054,0.0002534958900683831,0.00021529043950409916,0.00018672239901833262,0.0001897670188879462,0.0002273122031629736
Size,Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Number of Distinct Activities,0.0074999999999999884,0.01708333333333334,0.027500000000000004,0.034642857142857156,0.007249999999999979,0.01261363636363639,0.017613636363636415,0.024337121212121234,0.006458333333333405,0.01338541666666664,0.019999999999999993,0.02718750000000003,0.018428571428571405,0.03833333333333341,0.054583333333333386,0.07374999999999997,0.01375000000000002,0.029227272727272734,0.043090909090909055,0.05472727272727266,0.012434710054234452,0.02364285714285716,0.035047619047619064,0.04783333333333329
Size,Number of Distinct Traces,0.13729166666666665,0.2664923800259402,0.38751818975552965,0.4938435828877006,0.011147143475262414,0.01375523424554968,0.015705195866381538,0.01712766456338946,0.0038138279776079803,0.005415733750843449,0.006608861212957095,0.007512028520902015,0.30775106837606847,0.5190604734111544,0.7539049767171131,0.9664338235294118,0.021903096496127088,0.028497028318232552,0.032620715628198925,0.03634707890311922,0.011675936644110325,0.01569230564670225,0.01759813902938217,0.018787637342100906
Size,Number of Distinct Directly-Follows Relations,0.10681671626984132,0.2071666666666667,0.3037222222222222,0.39449999999999996,0.0463776497542097,0.08480529894790866,0.12450566234540308,0.16518790849673204,0.040931544050622416,0.07442346597315508,0.11590636863796008,0.14916275043284694,0.2163479262672811,0.4140625,0.5581105634624359,0.7227777777777777,0.09325609605107102,0.17767741995576797,0.2590382079459003,0.33920344454353496,0.08186634558671907,0.15776482135700767,0.23437909958258799,0.30501768488745984
Size,Min. Trace Length,0.02891666666666661,0.04916666666666667,0.06999999999999995,0.09157142857142864,0.006000000000000035,0.010000000000000009,0.016388888888888904,0.021666666666666723,0.003874999999999973,0.009722222222222236,0.01624999999999997,0.01791666666666667,0.04641666666666673,0.0869047619047619,0.11828571428571427,0.14071428571428574,0.016249999999999952,0.03125,0.044791666666666674,0.05812499999999998,0.00784090909090906,0.015100637370010068,0.0270075757575758,0.03335227272727276
Size,Avg. Trace Length,0.0002344422869419856,0.00022571428571427989,0.00022336878133594657,0.00016500393694197823,0.00024273834417588088,0.00020245016161831087,0.0002122385989953506,0.00021991539325735878,0.00013741229435651362,0.00012386722652038844,9.419799281100427e-05,9.819755375663038e-05,0.0002502567919611987,0.0002773053822393224,0.00028999999999994585,0.0002823072936634404,0.00022856721967732299,0.00024855831232913864,0.0002908644884424311,0.00025349589006837416,0.00021529043950409906,0.0001867223990183802,0.0001897670188878195,0.0002273122031629632
Size,Max. Trace Length,0.021547619047619065,0.048749999999999995,0.06541666666666668,0.08095238095238094,0.00011100898063090277,0.0,0.0,0.0,0.00011489312372890866,2.482190284704968e-05,0.0,0.0,0.046666666666666703,0.08642857142857142,0.11285714285714286,0.13636904761904758,0.0004928303152175674,0.0003509156914974377,0.00030690857807775076,0.0001723640092600474,0.0003333666700003269,0.0002683356033189554,0.0,0.0
Variation,Percentage of Distinct Traces,0.13729166666666606,0.266492380025939,0.3875181897555311,0.4938435828876981,0.011147143475262451,0.0137552342455497,0.015705195866381513,0.01712766456338939,0.003813827977607879,0.0054157337508433465,0.006608861212956956,0.007512028520901982,0.3077510683760696,0.5190604734111544,0.7539049767171151,0.9664338235294117,0.02190309649612718,0.028497028318232455,0.032620715628198974,0.03634707890311915,0.011675936644110436,0.01569230564670223,0.017598139029382023,0.01878763734210092
