Noise Level,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Dimension,Metric,,,,,,,,,,,,,,,,,,,,,,,,
Size,Number of Events,0.06499999999999773,0.12250000000000227,0.15999999999996817,0.15000000000009095,0.09749999999996817,0.17999999999994998,0.27000000000003865,0.38250000000005,0.08749999999999147,0.15250000000003183,0.18499999999994543,0.23749999999995453,0.06999999999999318,0.17749999999995225,0.2300000000000182,0.3199999999999932,0.13500000000000512,0.23750000000009663,0.3974999999999227,0.4450000000002774,0.14749999999997954,0.29750000000001364,0.4874999999999545,0.6625000000001364
Size,Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Size,Number of Distinct Activities,0.04499999999999993,0.10250000000000004,0.1625000000000001,0.20750000000000002,0.07249999999999979,0.13250000000000028,0.1900000000000004,0.27749999999999986,0.09750000000000103,0.21250000000000036,0.3200000000000003,0.4375000000000009,0.0974999999999997,0.22250000000000014,0.32250000000000023,0.4299999999999997,0.14749999999999996,0.3100000000000005,0.4399999999999995,0.5524999999999993,0.1924999999999999,0.35000000000000053,0.5274999999999999,0.7274999999999991
Size,Number of Distinct Traces,0.44999999999999996,0.9174999999999998,1.3674999999999997,1.8249999999999997,0.28999999999999915,0.6224999999999987,0.9799999999999986,1.3275000000000006,0.14999999999999858,0.3674999999999997,0.6300000000000026,0.9100000000000037,0.915,1.8849999999999998,2.817500000000001,3.795,0.5874999999999995,1.3049999999999997,2.039999999999999,2.8000000000000043,0.38750000000000107,0.9124999999999979,1.4024999999999999,1.9325000000000045
Size,Number of Distinct Directly-Follows Relations,0.7650000000000015,1.5350000000000001,2.26,2.9025,0.9025000000000034,1.7725000000000009,2.5599999999999987,3.3149999999999977,1.2750000000000021,2.724999999999998,4.069999999999997,5.3550000000000075,1.6250000000000004,3.3075,4.6475,5.995000000000001,1.9525000000000023,3.8375000000000004,5.5550000000000015,7.34,2.8275000000000006,5.692499999999999,7.969999999999999,10.707499999999996
Size,Min. Trace Length,0.13749999999999973,0.2450000000000001,0.3275000000000001,0.39749999999999996,0.022499999999999964,0.03499999999999992,0.06499999999999995,0.09250000000000003,0.015000000000000124,0.032500000000000084,0.057499999999999885,0.07500000000000018,0.25,0.44250000000000034,0.6000000000000001,0.71,0.057499999999999996,0.1150000000000001,0.15500000000000003,0.19750000000000012,0.03999999999999959,0.07750000000000012,0.09750000000000014,0.1349999999999999
Size,Avg. Trace Length,0.0012999999999996348,0.0012249999999998096,0.0010666666666667712,0.0007500000000004725,0.0019499999999994522,0.0018000000000002458,0.0018000000000002458,0.0019124999999999837,0.0017499999999996962,0.0015250000000008868,0.0012333333333325314,0.001187500000000341,0.00140000000000029,0.001774999999999416,0.0015333333333331645,0.0016000000000002679,0.0027000000000001467,0.002375000000000904,0.002649999999999597,0.0022250000000010317,0.002949999999999342,0.002975000000000172,0.003249999999999531,0.003312500000001606
Size,Max. Trace Length,0.11250000000000027,0.2549999999999999,0.34499999999999975,0.4325000000000001,0.005000000000000782,0.0,0.0,0.0,0.005000000000002558,0.0024999999999995026,0.0,0.0,0.26249999999999973,0.47750000000000004,0.6349999999999998,0.7725,0.014999999999998792,0.010000000000001563,0.010000000000001563,0.004999999999999005,0.012500000000002842,0.00999999999999801,0.0,0.0
Variation,Percentage of Distinct Traces,0.009,0.009175000000000015,0.009116666666666697,0.009124999999999998,0.0058,0.0062249999999999805,0.006533333333333349,0.006637499999999991,0.0029999999999998916,0.0036749999999999283,0.004199999999999926,0.004550000000000054,0.018299999999999927,0.018850000000000002,0.018783333333333353,0.018974999999999954,0.011750000000000024,0.01304999999999995,0.013600000000000056,0.013999999999999999,0.00775000000000009,0.009124999999999994,0.009349999999999997,0.009662500000000046
Variation,Average Distinct Activities per Trace,0.005399999999999849,0.005250000000000199,0.004866666666666131,0.004700000000000593,0.002500000000000391,0.002374999999999794,0.002200000000000202,0.0023250000000003546,0.0019000000000002348,0.002075000000000493,0.0021999999999993136,0.001975000000000282,0.009599999999999831,0.00957499999999989,0.009766666666666701,0.00990000000000002,0.0034999999999998366,0.0035250000000000004,0.0032333333333329772,0.0032874999999998877,0.004649999999999377,0.0036249999999999893,0.0037000000000007027,0.0036249999999997673
