Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 100,RelCI 500,RelCI 1000,Plateau n,Plateau Found,Plateau Reached,Timestamp
Percentage of Distinct Traces,PC,Variation,RTFMP,-0.7815736620,-0.8696421883,0.0000000000,0.0000000000,1000,81728,0.0880685263,Linear,Pearson,0.5471289274106174,0.7047619048,0.6018981018981019,8100.0000000000,True,Y (8100),2026-04-27T10:15:26.781345
Percentage of Distinct Traces,PC,Variation,MEAN,-0.6655551959,-0.7294576629,0.0000000000,0.0000000000,1000,81728,0.0639024671,,,0.4980268292967066,0.5136101673,0.47281557905315363,,1 / 2,1 / 2,2026-04-27T10:15:26.941106
Average Distinct Activities per Trace,PD,Variation,BPIC12,0.0150939649,0.0091032468,0.6335449597,0.7737173660,1000,81728,0.0059907181,Linear,Pearson,0.3444143651897477,0.2130185969,0.20754656713997538,100.0000000000,True,Y (100),2026-04-27T10:15:26.785009
Average Distinct Activities per Trace,PD,Variation,RTFMP,-0.0204290156,-0.0407921747,0.5187447498,0.1974380939,1000,81728,0.0203631591,Linear,Pearson,0.4778170712104165,0.3804559205,0.35272310889171754,100.0000000000,True,Y (100),2026-04-27T10:15:26.789586
Average Distinct Activities per Trace,PD,Variation,MEAN,-0.0026675253,-0.0158444640,0.5761448547,0.4855777299,1000,81728,0.0131769386,,,0.4111157182000821,0.2967372587,0.2801348380158465,100.0000000000,2 / 2,2 / 2 (avg. 100),2026-04-27T10:15:26.902474
Structure,PC,Variation,BPIC12,-0.7306859365,-0.7233200295,0.0000000000,0.0000000000,1000,81728,0.0073659070,Linear,Pearson,0.03853078039600854,0.0316354951,0.03080991879975852,2100.0000000000,True,Y (2100),2026-04-27T10:15:26.793706
Structure,PC,Variation,RTFMP,-0.2802800313,-0.3188537500,0.0000000000,0.0000000000,1000,81728,0.0385737187,Linear,Pearson,0.19770422290875492,0.1170860552,0.10822498620317612,6100.0000000000,True,Y (6100),2026-04-27T10:15:26.797402
Structure,PC,Variation,MEAN,-0.5054829839,-0.5210868897,0.0000000000,0.0000000000,1000,81728,0.0229698129,,,0.11811750165238173,0.0743607752,0.06951745250146732,4100.0000000000,2 / 2,2 / 2 (avg. 4100),2026-04-27T10:15:26.945154
Estimated Number of Acyclic Paths,PC,Variation,BPIC12,0.7072388672,0.8444839087,0.0000000000,0.0000000000,1000,81728,0.1372450415,Linear,Pearson,2.7690154023607088,2.1608943281,2.0674248667884694,8100.0000000000,True,Y (8100),2026-04-27T10:15:26.802072
Estimated Number of Acyclic Paths,PC,Variation,RTFMP,0.3611193064,0.6473881619,0.0000000000,0.0000000000,1000,81728,0.2862688556,Asymptotic,Spearman,1.6874442090916268,3.2265286985,2.247323360252629,4100.0000000000,True,Y (4100),2026-04-27T10:15:26.806304
