Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Number of Distinct Directly-Follows Relations,500,23.02,23.0,15.95,32.0,0.6972198088618593,15.0,32.0,0.738488271068636,,,,,,,,,False
Number of Distinct Directly-Follows Relations,1000,26.42,26.0,20.95,33.0,0.45609386828160486,19.0,33.0,0.5299015897047691,,,,,,,,,False
Number of Distinct Traces,100,9.23,9.0,6.95,12.0,0.5471289274106175,5.475000000000002,13.0,0.8152762730227516,,,,,,,,,False
Number of Distinct Traces,500,15.75,15.0,11.0,22.099999999999994,0.7047619047619044,11.0,24.52499999999999,0.8587301587301582,,,,,,,,,False
Number of Distinct Traces,1000,20.02,19.0,15.0,27.049999999999997,0.6018981018981018,14.475000000000001,29.52499999999999,0.7517482517482512,,,,,,,,,False
Number of Events,100,378.48,374.5,293.8,475.29999999999995,0.4795497780596067,283.375,509.67499999999995,0.5979179877404353,,,,,,,,,False
Number of Events,500,1877.3,1862.0,1515.95,2245.0499999999997,0.38837692430618426,1433.0,2457.5999999999995,0.5457838384914502,,,,,,,,,False
Number of Events,1000,3729.33,3726.0,3113.6,4483.65,0.36737161903076415,3000.925,4811.2,0.48541561084698853,,,,,,,,,False
Number of Ties in Paths to Goal,100,36.31,35.0,22.95,55.099999999999994,0.8854310107408424,20.475,61.0,1.1160837234921508,,,,,,,,,False
Number of Ties in Paths to Goal,500,73.97,68.0,42.0,120.34999999999998,1.059213194538326,40.95,133.0,1.2444234148979316,,,,,,,,,False
Number of Ties in Paths to Goal,1000,100.61,96.0,64.0,148.05,0.8354040353841568,60.375000000000014,201.14999999999995,1.399214789782327,,,,,,,,,False
Number of Traces,100,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,,,,,,,,,False
Number of Traces,500,500.0,500.0,500.0,500.0,0.0,500.0,500.0,0.0,,,,,,,,,False
Number of Traces,1000,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,,,,,,,,,False
Percentage of Distinct Traces,100,0.09230000000000001,0.09,0.0695,0.12,0.5471289274106174,0.05475000000000002,0.13,0.8152762730227516,,,,,,,,,False
Percentage of Distinct Traces,500,0.0315,0.03,0.022,0.04419999999999999,0.7047619047619045,0.022,0.04904999999999998,0.8587301587301582,,,,,,,,,False
