Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,50,0.4607081404722569,0.42983415709878975,0.5509199964292634,0.2628254825416205,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,100,0.4579876840243496,0.4348297288309239,0.5503468457719249,0.25222756194216656,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,150,0.4590788082362593,0.43678941340770766,0.5527587848863609,0.2526132101897655,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,200,0.45890471356113627,0.43744835006671623,0.5330877884208642,0.20840805406416188,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,250,0.4578791287332491,0.43886022436629785,0.5306259278065293,0.20041468955815245,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,300,0.4575102658234007,0.43933820862283934,0.5222002953488254,0.18111525121049607,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,350,0.4572021075298294,0.4390864425346413,0.5157790571531146,0.16774335322474335,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,400,0.4575573761325012,0.44000769017425245,0.5141673107330579,0.16207720479918566,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,450,0.45779599723637276,0.44054912315945893,0.52457922250545,0.18355359123553885,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Affinity,500,0.4578589088401022,0.4414225390566264,0.5169583926929877,0.16497626709441332,-0.029743742185359304,0.03545356790873305,0.07024008447027269,6.639464569654549e-07,50.0,True
Average Distinct Activities per Trace,50,8.233600000000001,6.279,10.220999999999998,0.47876991838321004,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,100,8.20172,6.183750000000001,9.84,0.44579063903668975,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,150,8.186146666666666,6.063166666666667,9.506666666666666,0.4206496829603183,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,200,8.17529,6.378500000000001,9.338375,0.36205137677073207,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,250,8.191824,6.470200000000001,9.2324,0.33718986150093055,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,300,8.20354,6.574416666666667,9.086666666666666,0.30623974528069575,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,350,8.210485714285715,6.691142857142857,9.148571428571428,0.29930367787532997,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,400,8.16521,6.74975,9.0891875,0.28651283922887466,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,450,8.16475111111111,6.532777777777778,9.06338888888889,0.30994344795976647,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Distinct Activities per Trace,500,8.171912,6.63595,9.0381,0.2939520151465165,-0.01892393511620848,0.18092593629635603,-0.021424095359648843,0.12984652589904597,50.0,True
Average Edit Distance,50,24.294901224489795,15.555836734693878,32.1025306122449,0.6810768121531439,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,100,24.125366464646465,16.44427777777778,30.430070707070698,0.5797131807215375,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,150,23.991948635346755,15.933921700223713,29.084463087248324,0.5481231052508272,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,200,23.99774783919598,17.902339195979902,28.55507914572864,0.4439058207099507,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,250,23.98144880321285,18.23918313253012,28.42066425702811,0.42455654819044775,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,300,24.16138956521739,18.214896321070235,27.977114827201785,0.40404209699036464,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,350,24.030328252148998,19.216108063855916,27.70756119525174,0.3533640091094654,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,400,23.99611385964912,19.40989536340852,27.253645050125314,0.3268758321699132,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,450,23.986262509279882,18.926996040584015,27.48347389260084,0.3567240977499712,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
Average Edit Distance,500,24.02117845290581,19.357845691382764,27.2010997995992,0.3265141268399197,-0.018737828465693017,0.18525422484592666,-0.032753226392781366,0.02055580447244198,50.0,True
