Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.46006425645201743,0.45235562179383093,0.43720921285504594,0.5174518108410924,0.17441606658354988,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,200,0.4561806199849009,0.4505773003222183,0.4392609568552082,0.48324331017682554,0.09641433983555261,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,300,0.4555372861605547,0.45375188767583186,0.440354132341852,0.47837507192555223,0.0834639462867145,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,400,0.45779614593557566,0.45381974322165,0.43976511164694165,0.5134077936224601,0.16086348176876528,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,500,0.4579611388739084,0.454251561391793,0.44215716385839376,0.48927387817040724,0.10288365171741404,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,600,0.4569653135264307,0.4522495396634822,0.4429034957433151,0.48661998459560063,0.09566697418436984,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,700,0.4541060505136864,0.451748049116495,0.4430033661327079,0.481321125518882,0.08438064047556493,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,800,0.45583837679426914,0.451694037520454,0.4438812327677359,0.5015754378647643,0.12656723969308803,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,900,0.4574248453842079,0.45605012706107173,0.4443209918164645,0.49467540983713487,0.11008238518040235,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Affinity,1000,0.45725249168496923,0.4558936958250934,0.44403200507373836,0.4933103450714745,0.10777052261901539,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,,False
Average Distinct Activities per Trace,100,8.0528,8.115,6.577,9.3505,0.3444143651897477,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,,False
Average Distinct Activities per Trace,200,8.21315,8.2525,7.2772499999999996,9.06575,0.21776054254457788,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,,False
