Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,100,0.46006425645201743,0.45235562179383093,,,0.4355405505062837,0.5520491497746478,0.253244188468085,0.43720921285504594,0.5174518108410924,0.17441606658354988,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,200,0.4561806199849009,0.4505773003222183,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,300,0.4555372861605547,0.45375188767583186,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,400,0.45779614593557566,0.45381974322165,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,500,0.4579611388739084,0.454251561391793,,,0.4419297023214983,0.5176797523774478,0.16540715712737786,0.44215716385839376,0.48927387817040724,0.10288365171741404,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,600,0.4569653135264307,0.4522495396634822,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,700,0.4541060505136864,0.451748049116495,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,800,0.45583837679426914,0.451694037520454,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,900,0.4574248453842079,0.45605012706107173,,,,,,,,,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Affinity,1000,0.45725249168496923,0.4558936958250934,,,0.4430933584461229,0.5020205797151209,0.1288723896328088,0.44403200507373836,0.4933103450714745,0.10777052261901539,-0.025979142339903484,0.4118492978778422,0.0475640419826271,0.1328192903022129,100.0,True
Average Distinct Activities per Trace,100,8.0528,8.115,,,6.18125,9.45725,0.40681502086230875,6.577,9.3505,0.3444143651897477,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,200,8.21315,8.2525,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,300,8.2497,8.261666666666667,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,400,8.176499999999999,8.2075,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,500,8.118540000000001,8.068999999999999,,,6.6169,9.0362,0.29799693048257425,7.2512,8.980599999999999,0.21301859693984374,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,600,8.163966666666667,8.239166666666666,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,700,8.259742857142857,8.352142857142857,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,800,8.238674999999999,8.370000000000001,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,900,8.139255555555556,8.180555555555555,,,,,,,,,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Distinct Activities per Trace,1000,8.13986,8.167,,,6.93555,8.8301,0.23274970331185052,7.10335,8.79275,0.20754656713997538,0.015093964856252914,0.633544959748907,0.009103246783008376,0.7737173659570933,100.0,True
Average Edit Distance,100,23.615547474747473,23.67737373737374,,,15.783313131313134,29.411575757575758,0.5770885744163063,17.594565656565656,28.893818181818183,0.47846667697774187,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,200,24.12238693467337,24.62633165829146,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,300,24.315204459308806,24.440222965440356,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,400,24.080978446115285,24.407299498746866,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,500,23.796093867735472,23.746829659318635,,,19.243875551102203,27.05629378757515,0.3283067498345016,19.36054509018036,26.883577955911825,0.3161457047339924,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,600,24.13701302170284,24.724348914858098,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,700,24.194979153893318,24.804130390353567,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,800,24.433112797246558,24.774701188986235,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,900,24.03804449388209,24.639665059943145,,,,,,,,,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Average Edit Distance,1000,23.986347407407408,24.53786086086086,,,20.41163888888889,26.37975155155155,0.24881290015917973,20.794406006006007,25.96633803803804,0.2156198250691078,0.03029639641072752,0.3385280828529873,0.008195082541506951,0.7957652638596606,100.0,True
Avg. Trace Length,100,19.715,19.64,,,13.297250000000002,25.28525,0.6080649251838701,14.9705,24.525499999999997,0.4846563530306872,0.014777149701598009,0.6406891042664221,0.0036977380548136513,0.9070289300459409,100.0,True
Avg. Trace Length,200,20.1453,20.4,,,,,,,,,0.014777149701598009,0.6406891042664221,0.0036977380548136513,0.9070289300459409,100.0,True
Avg. Trace Length,300,20.2992,20.328333333333333,,,,,,,,,0.014777149701598009,0.6406891042664221,0.0036977380548136513,0.9070289300459409,100.0,True
Avg. Trace Length,400,20.08895,20.346249999999998,,,,,,,,,0.014777149701598009,0.6406891042664221,0.0036977380548136513,0.9070289300459409,100.0,True
Avg. Trace Length,500,19.86066,19.595999999999997,,,15.39545,23.01365,0.38358241871116056,16.7545,22.6844,0.2985751732319067,0.014777149701598009,0.6406891042664221,0.0036977380548136513,0.9070289300459409,100.0,True
