Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Number of Distinct Directly-Follows Relations,500,103.19,103.0,96.0,109.0,0.12598119972865587,95.47500000000001,109.52499999999999,0.13615660432212406,,,,,,,,,False
Number of Distinct Directly-Follows Relations,1000,109.78,111.0,103.0,115.0,0.1093095281472035,103.0,116.0,0.11841865549280378,,,,,,,,,False
Number of Distinct Traces,100,55.8,56.0,40.95,66.0,0.4489247311827957,38.475,67.52499999999999,0.5206093189964156,,,,,,,,,False
Number of Distinct Traces,500,237.55,236.5,194.45,271.05,0.3224584298042518,166.8,274.04999999999995,0.4514838981267099,,,,,,,,,False
Number of Distinct Traces,1000,442.64,441.0,345.95,498.1,0.3437330562082054,338.75,500.525,0.36547758901138616,,,,,,,,,False
Number of Events,100,1971.5,1964.0,1497.05,2452.5499999999997,0.48465635303068716,1329.7250000000004,2528.525,0.60806492518387,,,,,,,,,False
Number of Events,500,9930.33,9798.0,8377.25,11342.2,0.29857517323190674,7697.725,11506.825,0.3835824187111607,,,,,,,,,False
Number of Events,1000,19923.12,20425.0,16911.15,21813.1,0.24604329040832948,16638.225,22070.524999999998,0.2726631170218319,,,,,,,,,False
Number of Ties in Paths to Goal,100,1700.83,1700.0,1169.0,2221.1499999999996,0.6186097375987016,974.0500000000002,2312.8999999999996,0.78717449715727,,,,,,,,,False
Number of Ties in Paths to Goal,500,8126.08,8012.0,6441.65,9632.35,0.3926493463022762,5687.75,9881.875,0.5161313942269827,,,,,,,,,False
Number of Ties in Paths to Goal,1000,15868.72,16345.5,12592.25,17978.05,0.33939725447295055,12241.325,18133.575,0.37131224194516005,,,,,,,,,False
Number of Traces,100,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,,,,,,,,,False
Number of Traces,500,500.0,500.0,500.0,500.0,0.0,500.0,500.0,0.0,,,,,,,,,False
Number of Traces,1000,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,,,,,,,,,False
Percentage of Distinct Traces,100,0.5579999999999999,0.56,0.4095,0.66,0.44892473118279586,0.38475000000000004,0.6752499999999999,0.5206093189964156,,,,,,,,,False
Percentage of Distinct Traces,500,0.47509999999999997,0.473,0.3889,0.5421,0.32245842980425177,0.33360000000000006,0.5481,0.45148389812671014,,,,,,,,,False
Percentage of Distinct Traces,1000,0.44264000000000003,0.441,0.34595,0.4981,0.3437330562082053,0.33875,0.500525,0.3654775890113862,,,,,,,,,False
Sequence Entropy,100,6498.682785027388,6481.212812587937,4481.879019200122,8546.794979784578,0.6254984425382021,3831.7357003711,9044.279892347944,0.8020924184799822,,,,,,,,,False
Sequence Entropy,500,41317.26356048736,40625.790349493655,32798.59559526935,48935.99695319915,0.39057284939272624,29308.65955898291,50214.03128522573,0.5059718365820117,,,,,,,,,False
Sequence Entropy,1000,89336.09561752167,92486.53271525346,72174.86296087285,101052.27036332426,0.3232445654003669,70834.69642799527,102487.97664239877,0.3543168077315804,,,,,,,,,False
Structure,100,0.8379144824577619,0.8390812229530222,0.8204074817603775,0.8526929806745926,0.03853078039600854,0.8202479338842975,0.8623365464231592,0.05023020059923988,,,,,,,,,False
Structure,500,0.8073894664986347,0.8071833648393194,0.7939508506616257,0.8194930161730729,0.03163549510029477,0.7939508506616257,0.820817334199748,0.03327574194723247,,,,,,,,,False
Structure,1000,0.7991985008401596,0.8015122873345936,0.7844045368620037,0.8090277777777778,0.03080991879975852,0.7816162570888469,0.8099392361111111,0.03543922941858575,,,,,,,,,False
Variant Entropy,100,3630.5896041661495,3656.3062502589582,2278.6790608715887,5099.916071152921,0.7770740617567807,1930.7893749074342,5318.2540198949055,0.9330343041527775,,,,,,,,,False
Variant Entropy,500,19508.91191457568,19393.33980232378,13241.35640070453,24009.012691249736,0.5519352559329757,12963.085551722133,25435.059637187107,0.6392962426647073,,,,,,,,,False
Variant Entropy,1000,39600.956762042566,41342.233227131735,29876.813894158207,46466.87387577603,0.41893078698339326,29139.298141835152,48414.000337330974,0.4867231443754052,,,,,,,,,False
